starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 26 12:56:13 2022	1643172973	17	528	545	74
Wed Jan 26 12:56:20 2022	1643172980	12	534	545	65
Wed Jan 26 12:56:16 2022	1643172976	14	531	545	45
Wed Jan 26 12:56:20 2022	1643172980	22	524	546	132
Wed Jan 26 12:56:16 2022	1643172976	4	542	546	81
Wed Jan 26 12:56:15 2022	1643172975	6	540	546	92
Wed Jan 26 12:56:17 2022	1643172977	11	535	546	80
Wed Jan 26 12:56:17 2022	1643172977	16	530	546	79
Wed Jan 26 12:56:20 2022	1643172980	4	542	546	53
Wed Jan 26 12:56:14 2022	1643172974	22	524	546	142
Wed Jan 26 12:56:17 2022	1643172977	17	529	546	88
Wed Jan 26 12:56:15 2022	1643172975	9	538	546	92
Wed Jan 26 12:56:13 2022	1643172973	3	543	547	87
Wed Jan 26 12:56:13 2022	1643172973	5	541	547	70
Wed Jan 26 12:56:17 2022	1643172977	4	543	547	114
Wed Jan 26 12:56:18 2022	1643172978	18	529	547	171
Wed Jan 26 12:56:19 2022	1643172979	4	543	547	117
Wed Jan 26 12:56:16 2022	1643172976	20	527	547	54
Wed Jan 26 12:56:19 2022	1643172979	3	543	547	117
Wed Jan 26 12:56:23 2022	1643172983	13	534	547	88
Wed Jan 26 12:56:15 2022	1643172975	8	539	547	92
Wed Jan 26 12:56:17 2022	1643172977	5	542	547	59
Wed Jan 26 12:56:16 2022	1643172976	11	536	547	71
Wed Jan 26 12:56:13 2022	1643172973	17	530	547	76
Wed Jan 26 12:56:21 2022	1643172981	10	538	547	128
Wed Jan 26 12:56:16 2022	1643172976	13	534	547	66
Wed Jan 26 12:56:16 2022	1643172976	7	540	547	79
Wed Jan 26 12:56:15 2022	1643172975	10	538	547	66
Wed Jan 26 12:56:15 2022	1643172975	12	535	547	58
Wed Jan 26 12:56:14 2022	1643172974	2	546	548	159
Wed Jan 26 12:56:17 2022	1643172977	9	539	548	72
Wed Jan 26 12:56:18 2022	1643172978	13	534	548	71
Wed Jan 26 12:56:14 2022	1643172974	16	532	548	172
Wed Jan 26 12:56:16 2022	1643172976	11	537	548	71
Wed Jan 26 12:56:17 2022	1643172977	14	534	548	129
Wed Jan 26 12:56:14 2022	1643172974	4	544	548	190
Wed Jan 26 12:56:16 2022	1643172976	36	512	548	80
Wed Jan 26 12:56:17 2022	1643172977	8	540	548	72
Wed Jan 26 12:56:18 2022	1643172978	12	536	548	65
Wed Jan 26 12:56:19 2022	1643172979	5	543	548	117
