starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 26 01:23:58 2022	1643131438	7	581	588	89
Wed Jan 26 01:23:49 2022	1643131429	19	569	588	155
Wed Jan 26 01:23:59 2022	1643131439	9	579	588	67
Wed Jan 26 01:23:59 2022	1643131439	6	582	588	105
Wed Jan 26 01:23:50 2022	1643131430	2	586	588	58
Wed Jan 26 01:23:50 2022	1643131430	4	584	589	100
Wed Jan 26 01:23:53 2022	1643131433	6	583	589	106
Wed Jan 26 01:23:53 2022	1643131433	4	584	589	88
Wed Jan 26 01:24:00 2022	1643131440	17	571	589	112
Wed Jan 26 01:23:54 2022	1643131434	26	563	589	132
Wed Jan 26 01:23:52 2022	1643131432	7	582	589	46
Wed Jan 26 01:23:53 2022	1643131433	5	584	589	104
Wed Jan 26 01:23:56 2022	1643131436	8	581	589	63
Wed Jan 26 01:23:51 2022	1643131431	16	573	589	67
Wed Jan 26 01:23:50 2022	1643131430	5	585	589	97
Wed Jan 26 01:23:50 2022	1643131430	10	579	589	49
Wed Jan 26 01:23:56 2022	1643131436	6	583	590	58
Wed Jan 26 01:23:53 2022	1643131433	4	585	590	76
Wed Jan 26 01:23:50 2022	1643131430	5	585	590	60
Wed Jan 26 01:23:56 2022	1643131436	12	578	590	50
Wed Jan 26 01:23:57 2022	1643131437	1	588	590	271
Wed Jan 26 01:23:59 2022	1643131439	8	582	590	105
Wed Jan 26 01:23:54 2022	1643131434	38	552	590	117
Wed Jan 26 01:23:51 2022	1643131431	8	582	590	79
Wed Jan 26 01:23:50 2022	1643131430	34	556	590	98
Wed Jan 26 01:23:50 2022	1643131430	33	557	590	145
Wed Jan 26 01:23:52 2022	1643131432	33	558	590	74
Wed Jan 26 01:23:54 2022	1643131434	39	552	590	117
Wed Jan 26 01:23:53 2022	1643131433	21	570	590	76
Wed Jan 26 01:23:59 2022	1643131439	2	589	591	127
Wed Jan 26 01:23:52 2022	1643131432	32	559	591	74
Wed Jan 26 01:23:58 2022	1643131438	13	577	591	127
Wed Jan 26 01:23:59 2022	1643131439	37	554	591	108
Wed Jan 26 01:23:50 2022	1643131430	6	585	591	51
